Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
21,"Ronald Jackson, N.C. A&T (MEAC)",Sr.,6-8,F,32,332,10.4,2020
22,"Manny Camper, Siena (MAAC)",Jr.,6-7,G,30,311,10.4,2020
23,"Jordan Goodwin, Saint Louis (Atlantic 10)",Jr.,6-3,G,31,321,10.4,2020
24,"Cyril Langevine, Rhode Island (Atlantic 10)",Sr.,6-8,F,29,300,10.3,2020
25,"Xavier Tillman, Michigan St. (Big Ten)",Jr.,6-8,F,31,320,10.3,2020
26,"Aaron Carver, Old Dominion (CUSA)",Sr.,6-7,F,32,328,10.2,2020
27,"Nate Grimes, Fresno St. (Mountain West)",Sr.,6-8,F,27,275,10.2,2020
28,"Ahsan Asadullah, Lipscomb (ASUN)",So.,6-9,C,31,312,10.1,2020
28,"Reggie Perry, Mississippi St. (SEC)",So.,6-10,F,31,312,10.1,2020
30,"Matt Pile, Omaha (Summit League)",Jr.,6-8,F,32,321,10,2020
31,"David Bell, Jacksonville (ASUN)",Sr.,6-10,C,31,309,10,2020
32,"Emmanuel Nzekwesi, Oral Roberts (Summit League)",Sr.,6-8,F,25,247,9.9,2020
33,"Omer Yurtseven, Georgetown (Big East)",Sr.,7-0,C,26,256,9.8,2020
34,"Luka Garza, Iowa (Big Ten)",Jr.,6-11,C,31,305,9.8,2020
35,"Ruot Monyyong, Little Rock (Sun Belt)",Jr.,6-10,F,31,303,9.8,2020
36,"Kim Aiken Jr., Eastern Wash. (Big Sky)",So.,6-7,G,31,302,9.7,2020
37,"Carlos Dotson, Western Caro. (SoCon)",Sr.,6-7,F,30,291,9.7,2020
38,"Loudon Love, Wright St. (Horizon)",Jr.,6-8,C,27,261,9.7,2020
39,"Tyrn Flowers, LIU (NEC)",Jr.,6-9,F,33,318,9.6,2020
40,"Josh Mballa, Buffalo (MAC)",So.,6-7,F,32,308,9.6,2020
41,"Xeyrius Williams, Akron (MAC)",Sr.,6-9,F,31,293,9.5,2020
42,"Jibri Blount, N.C. Central (MEAC)",Sr.,6-5,F,31,290,9.4,2020
42,"Jeremiah Robinson-Earl, Villanova (Big East)",Fr.,6-9,F,31,290,9.4,2020
44,"Boubacar Toure, Eastern Mich. (MAC)",Sr.,6-11,C,32,299,9.3,2020
45,"Kaleb Wesson, Ohio St. (Big Ten)",Jr.,6-9,F,31,288,9.3,2020
45,"Austin Wiley, Auburn (SEC)",Sr.,6-11,C,31,288,9.3,2020
47,"Sean Sutherlin, New Hampshire (America East)",Jr.,6-5,G,28,260,9.3,2020
48,"James Dickey, UNC Greensboro (SoCon)",Sr.,6-10,F,32,297,9.3,2020
48,"Jayveous McKinnis, Jackson St. (SWAC)",So.,6-7,F,32,297,9.3,2020
50,"Dwight Wilson, James Madison (CAA)",Jr.,6-8,F,26,241,9.3,2020
51,"Oscar Tshiebwe, West Virginia (Big 12)",Fr.,6-9,F,31,287,9.3,2020
52,"Ethan Stair, Mercer (SoCon)",Sr.,6-4,G,32,296,9.2,2020
53,"Jayden Gardner, East Carolina (AAC)",So.,6-6,F,31,285,9.2,2020
