Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
312,"Jalon Pipkins, Purdue Fort Wayne (Horizon)",Sr.,6-4,G,23,127,30,44,328,14.3,2021
313,"Allen Flanigan, Auburn (SEC)",So.,6-6,G,27,122,44,97,385,14.3,2021
314,"Jayvon Graves, Buffalo (MAC)",Sr.,6-3,G,25,137,36,46,356,14.2,2021
315,"Mike Okauru, UNCW (CAA)",Sr.,6-3,G,17,84,21,53,242,14.2,2021
316,"Elijah Childs, Bradley (MVC)",Sr.,6-8,F,22,130,11,42,313,14.2,2021
316,"Teyvion Kirk, UIC (Horizon)",Jr.,6-4,G,22,129,13,42,313,14.2,2021
318,"Marquis Eaton, Arkansas St. (Sun Belt)",Sr.,6-2,G,24,105,28,103,341,14.2,2021
319,"Steve Settle, Howard (MEAC)",Fr.,6-10,F,5,24,6,17,71,14.2,2021
320,"Asbjorn Midtgaard, Grand Canyon (WAC)",Sr.,7-0,C,24,133,0,74,340,14.2,2021
320,"Xavier Johnson, Pittsburgh (ACC)",Jr.,6-3,G,18,80,25,70,255,14.2,2021
322,"Ahsan Asadullah, Lipscomb (ASUN)",Jr.,6-9,C,27,165,0,52,382,14.1,2021
323,"Jacob Young, Rutgers (Big Ten)",Sr.,6-2,G,28,152,31,61,396,14.1,2021
324,"Daylen Kountz, Northern Colo. (Big Sky)",Jr.,6-4,G,22,111,29,60,311,14.1,2021
325,"Manny Camper, Siena (MAAC)",Sr.,6-7,G,17,81,14,64,240,14.1,2021
326,"Jaheam Cornwall, Gardner-Webb (Big South)",Sr.,6-0,G,26,126,64,51,367,14.1,2021
327,"Noah Williams, Washington St. (Pac-12)",So.,6-5,G,27,128,47,78,381,14.1,2021
328,"Ochai Agbaji, Kansas (Big 12)",Jr.,6-5,G,30,147,78,51,423,14.1,2021
329,"Austin Williams, Hartford (America East)",Sr.,6-4,G,24,125,24,64,338,14.1,2021
330,"Tyler Stevenson, Southern Miss. (CUSA)",Jr.,6-7,G,25,138,0,76,352,14.1,2021
331,"Hunter Dickinson, Michigan (Big Ten)",Fr.,7-1,C,28,156,0,82,394,14.1,2021
332,"Davion Mitchell, Baylor (Big 12)",Jr.,6-2,G,30,158,63,41,420,14,2021
332,"Nikola Maric, Little Rock (Sun Belt)",Jr.,6-10,F,26,145,2,72,364,14,2021
332,"Sahvir Wheeler, Georgia (SEC)",So.,5-10,,26,135,18,76,364,14,2021
332,"Nick Guadarrama, New Hampshire (America East)",Jr.,6-5,F,16,72,23,57,224,14,2021
336,"Jaden Shackelford, Alabama (SEC)",So.,6-3,G,33,154,63,90,461,14,2021
337,"Tarik Cool, Idaho St. (Big Sky)",Sr.,6-4,G,24,116,38,65,335,14,2021
338,"Jubrile Belo, Montana St. (Big Sky)",Jr.,6-9,F,23,107,0,107,321,14,2021
338,"Alonzo Verge Jr. , Arizona St. (Pac-12)",Sr.,6-3,G,23,111,27,72,321,14,2021
340,"Chris Childs, Bryant (NEC)",Jr.,6-2,G,21,90,61,52,293,14,2021
340,"Paul Scruggs, Xavier (Big East)",Sr.,6-3,G,21,104,27,58,293,14,2021
342,"Collin Gillespie, Villanova (Big East)",Sr.,6-2,G,20,89,41,60,279,14,2021
343,"Mason Harrell, Texas St. (Sun Belt)",Jr.,5-9,G,24,122,36,54,334,13.9,2021
344,"Xavier Bishop, Montana St. (Big Sky)",Sr.,5-8,G,22,99,29,79,306,13.9,2021
345,"Elyjah Williams, FDU (NEC)",Sr.,6-7,F,21,119,21,33,292,13.9,2021
346,"Trendon Hankerson, NIU (MAC)",Jr.,6-2,G,19,99,48,18,264,13.9,2021
347,"Brenton Mills, Binghamton (America East)",So.,6-3,G,16,82,33,25,222,13.9,2021
348,"D'Mitrik Trice, Wisconsin (Big Ten)",Sr.,6-0,G,31,144,62,80,430,13.9,2021
349,"Fardaws Aimaq, Utah Valley (WAC)",So.,6-11,C,22,114,1,76,305,13.9,2021
350,"Taveion Hollingsworth, Western Ky. (CUSA)",Sr.,6-2,G,29,131,24,116,402,13.9,2021
Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Peter Kiss, Bryant (NEC)",Sr.,6-5,G,27,246,50,138,680,25.2,2022
2,"Darius McGhee, Liberty (ASUN)",Sr.,5-9,G,33,276,142,118,812,24.6,2022
3,"Antoine Davis, Detroit Mercy (Horizon)",Sr.,6-1,G,29,238,113,105,694,23.9,2022
4,"Keegan Murray, Iowa (Big Ten)",So.,6-8,F,35,307,66,142,822,23.5,2022
5,"Max Abmas, Oral Roberts (Summit League)",Jr.,6-0,G,30,226,114,119,685,22.8,2022
6,"Bryce Hamilton, UNLV (Mountain West)",Sr.,6-4,G,32,244,80,129,697,21.8,2022
7,"Terrell Brown Jr., Washington (Pac-12)",Sr.,6-3,G,32,257,12,169,695,21.7,2022
8,"Javon Freeman-Liberty, DePaul (Big East)",Sr.,6-4,G,24,176,49,119,520,21.7,2022
9,"Tavian Dunn-Martin, FGCU (ASUN)",Sr.,5-8,G,33,220,106,159,705,21.4,2022
10,"Daylen Kountz, Northern Colo. (Big Sky)",Sr.,6-4,G,37,287,59,153,786,21.2,2022
11,"Kofi Cockburn, Illinois (Big Ten)",Jr.,7-0,C,28,226,0,133,585,20.9,2022
12,"Jordan Dingle, Penn (Ivy League)",So.,6-3,G,26,198,66,80,542,20.8,2022
13,"Ty Gordon, Nicholls (Southland)",Sr.,6-1,G,29,226,103,49,604,20.8,2022
14,"Scotty Pippen Jr., Vanderbilt (SEC)",Jr.,6-3,G,36,224,64,224,736,20.4,2022
15,"Isiaih Mosley, Missouri St. (MVC)",Jr.,6-5,G,34,251,70,120,692,20.4,2022
16,"Jordan Walker, UAB (C-USA)",Jr.,5-11,G,34,221,116,132,690,20.3,2022
17,"Derek St. Hilaire, New Orleans (Southland)",Sr.,6-0,G,31,211,60,142,624,20.1,2022
18,"Tanner Holden, Wright St. (Horizon)",Jr.,6-6,G,36,244,14,221,723,20.1,2022
19,"Antonio Reeves, Illinois St. (MVC)",Jr.,6-6,G,33,237,76,112,662,20.1,2022
20,"David Azore, UT Arlington (Sun Belt)",Sr.,6-4,G,26,163,34,158,518,19.9,2022
21,"Jamal Cain, Oakland (Horizon)",Sr.,6-7,F,30,218,34,127,597,19.9,2022
22,"Malachi Smith, Chattanooga (SoCon)",So.,6-4,G,35,247,59,143,696,19.9,2022
23,"Souley Boum, UTEP (C-USA)",Jr.,6-3,G,30,180,64,172,596,19.9,2022
24,"Lamar Norman Jr., Western Mich. (MAC)",Jr.,6-1,G,30,211,101,71,594,19.8,2022
25,"Johnny Davis, Wisconsin (Big Ten)",So.,6-5,G,31,210,37,155,612,19.7,2022
26,"Mark Sears, Ohio (MAC)",So.,6-1,G,35,218,60,192,688,19.7,2022
27,"Jahmir Young, Charlotte (C-USA)",Jr.,6-2,G,31,210,56,132,608,19.6,2022
28,"Jake Stephens, VMI (SoCon)",Sr.,7-0,C,30,199,74,115,587,19.6,2022
29,"Teddy Allen, New Mexico St. (WAC)",Jr.,6-6,G,34,214,74,163,665,19.6,2022
30,"Graham Ike, Wyoming (Mountain West)",So.,6-9,F,33,241,3,159,644,19.5,2022
31,"Orlando Robinson, Fresno St. (Mountain West)",Jr.,7-0,F,36,251,37,161,700,19.4,2022
32,"Kendric Davis, SMU (AAC)",Sr.,5-11,G,32,184,77,177,622,19.4,2022
33,"E.J. Liddell, Ohio St. (Big Ten)",Jr.,6-6,F,32,203,46,169,621,19.4,2022
34,"Ques Glover, Samford (SoCon)",So.,6-0,G,29,203,32,120,558,19.2,2022
35,"Julian Champagnie, St. John's (NY) (Big East)",Jr.,6-8,F,31,221,65,89,596,19.2,2022
36,"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,29,202,87,66,557,19.2,2022
37,"David Roddy, Colorado St. (Mountain West)",Jr.,6-6,F,31,222,46,105,595,19.2,2022
38,"Azar Swain, Yale (Ivy League)",Sr.,6-0,G,31,201,70,122,594,19.2,2022
39,"Buddy Boeheim, Syracuse (ACC)",Sr.,6-6,G,32,213,88,99,613,19.2,2022
40,"Jeenathan Williams, Buffalo (MAC)",Sr.,6-5,F,29,217,60,60,554,19.1,2022
41,"Taevion Kinsey, Marshall (C-USA)",Sr.,6-5,G,31,219,17,137,592,19.1,2022
42,"Grant Sherfield, Nevada (Mountain West)",Jr.,6-2,G,28,187,45,115,534,19.1,2022
43,"Bryce Fowler, Sacramento St. (Big Sky)",Sr.,6-6,G,29,217,19,99,552,19,2022
44,"Fardaws Aimaq, Utah Valley (WAC)",So.,6-11,C,32,222,20,141,605,18.9,2022
45,"Jose Perez, Manhattan (MAAC)",Sr.,6-5,G,30,178,29,182,567,18.9,2022
45,"M.J. Randolph, Florida A&M (SWAC)",Sr.,6-4,G,30,209,11,138,567,18.9,2022
47,"Cam Spencer, Loyola Maryland (Patriot)",Jr.,6-4,G,30,208,59,91,566,18.9,2022
48,"Ryan Rollins, Toledo (MAC)",So.,6-4,G,34,232,47,130,641,18.9,2022
49,"Jalen Cone, Northern Ariz. (Big Sky)",So.,5-11,G,32,197,93,115,602,18.8,2022
50,"AJ Green, UNI (MVC)",Sr.,6-4,G,31,175,93,140,583,18.8,2022
51,"Ochai Agbaji, Kansas (Big 12)",Sr.,6-5,G,39,258,103,113,732,18.8,2022
52,"Hayden Brown, The Citadel (SoCon)",Sr.,6-5,F,30,207,33,116,563,18.8,2022
53,"Savion Flagg, Sam Houston (WAC)",Sr.,6-7,G,32,226,74,70,596,18.6,2022
54,"Hunter Dickinson, Michigan (Big Ten)",So.,7-1,C,32,240,21,93,594,18.6,2022
55,"Alondes Williams, Wake Forest (ACC)",Sr.,6-5,G,35,242,40,125,649,18.5,2022
56,"Aaron Estrada, Hofstra (CAA)",Jr.,6-3,G,32,230,61,72,593,18.5,2022
57,"Hunter Maldonado, Wyoming (Mountain West)",Sr.,6-7,G,33,213,21,162,609,18.5,2022
58,"Grant Basile, Wright St. (Horizon)",Jr.,6-9,F,36,247,39,131,664,18.4,2022
59,"Drew Timme, Gonzaga (WCC)",Jr.,6-10,F,32,232,8,118,590,18.4,2022
60,"John-Michael Wright, High Point (Big South)",Jr.,6-1,G,32,195,65,133,588,18.4,2022
61,"JD Notae, Arkansas (SEC)",Sr.,6-2,G,36,233,74,120,660,18.3,2022
62,"Trayce Jackson-Davis, Indiana (Big Ten)",Jr.,6-9,F,35,246,0,147,639,18.3,2022
63,"Darius Lee, Houston Christian (Southland)",Sr.,6-6,F,27,181,16,114,492,18.2,2022
64,"Jamal Mashburn, Jr., New Mexico (Mountain West)",So.,6-2,G,32,207,50,118,582,18.2,2022
65,"Koby McEwen, Weber St. (Big Sky)",Sr.,6-4,G,33,179,68,173,599,18.2,2022
66,"Marcus Hammond, Niagara (MAAC)",Sr.,6-1,G,29,174,68,108,524,18.1,2022
67,"KJ Williams, Murray St. (OVC)",Jr.,6-10,F,34,245,37,86,613,18,2022
68,"Jalen Williams, Santa Clara (WCC)",Jr.,6-6,G,33,219,42,114,594,18,2022
69,"Jalen Cook, Tulane (AAC)",Fr.,6-0,G,24,145,52,89,431,18,2022
70,"Norchad Omier, Arkansas St. (Sun Belt)",Fr.,6-7,F,29,203,1,113,520,17.9,2022
71,"Sincere Carry, Kent St. (MAC)",Sr.,6-1,G,34,207,78,117,609,17.9,2022
72,"Michael Devoe, Georgia Tech (ACC)",Sr.,6-5,G,31,200,70,85,555,17.9,2022
73,"Damaria Franklin, UIC (Horizon)",Sr.,6-4,G,28,197,47,58,499,17.8,2022
74,"Kameron McGusty, Miami (FL) (ACC)",Sr.,6-5,G,37,235,61,127,658,17.8,2022
75,"Taz Sherman, West Virginia (Big 12)",Sr.,6-4,G,31,188,64,110,550,17.7,2022
76,"Josh Oduro, George Mason (Atlantic 10)",Jr.,6-9,F,27,182,14,101,479,17.7,2022
77,"Noah Kirkwood, Harvard (Ivy League)",Sr.,6-7,G,26,176,47,62,461,17.7,2022
78,"Justin Johnson, UTRGV (WAC)",Jr.,6-6,G,31,186,33,144,549,17.7,2022
79,"Adrian Delph, App State (Sun Belt)",Sr.,6-3,G,34,208,105,81,602,17.7,2022
80,"Bennedict Mathurin, Arizona (Pac-12)",So.,6-6,G,37,218,83,136,655,17.7,2022
81,"Charles Pride, Bryant (NEC)",Jr.,6-4,G,32,204,59,99,566,17.7,2022
82,"Tristen Newton, East Carolina (AAC)",Jr.,6-5,G,30,165,48,152,530,17.7,2022
83,"Andrew Funk, Bucknell (Patriot)",Sr.,6-5,G,32,213,87,51,564,17.6,2022
84,"Alex Morales, Wagner (NEC)",Sr.,6-6,G,26,169,25,95,458,17.6,2022
85,"Dae Dae Grant, Miami (OH) (MAC)",Jr.,6-2,G,32,202,70,87,561,17.5,2022
86,"Iverson Molinar, Mississippi St. (SEC)",Jr.,6-3,G,34,205,27,158,595,17.5,2022
87,"Jamison Battle, Minnesota (Big Ten)",Jr.,6-7,F,29,186,75,60,507,17.5,2022
88,"Nijel Pack, Kansas St. (Big 12)",So.,6-0,G,29,175,95,60,505,17.4,2022
89,"Justin Bean, Utah St. (Mountain West)",Sr.,6-7,F,34,227,46,92,592,17.4,2022
90,"Javante McCoy, Boston U. (Patriot)",Sr.,6-5,G,35,242,62,63,609,17.4,2022
91,"Eli Scott, LMU (CA) (WCC)",Sr.,6-6,F,29,187,6,124,504,17.4,2022
92,"Oscar Tshiebwe, Kentucky (SEC)",Jr.,6-9,F,34,238,0,114,590,17.4,2022
93,"Dereon Seabron, NC State (ACC)",So.,6-7,G,32,200,11,144,555,17.3,2022
94,"Jaden Ivey, Purdue (Big Ten)",So.,6-4,G,36,203,64,154,624,17.3,2022
94,"Ryan Davis, Vermont (America East)",Sr.,6-8,F,30,197,45,81,520,17.3,2022
96,"Darrion Trammell, Seattle U (WAC)",So.,5-10,G,31,161,55,160,537,17.3,2022
97,"Jamaree Bouyea, San Francisco (WCC)",Sr.,6-2,G,34,219,72,77,587,17.3,2022
98,"Paolo Banchero, Duke (ACC)",Fr.,6-10,F,39,245,44,137,671,17.2,2022
99,"Jalen Rucker, Army West Point (Patriot)",So.,5-10,G,31,182,84,83,531,17.1,2022
100,"Eral Penn, LIU (NEC)",Sr.,6-7,F,29,164,40,127,495,17.1,2022
101,"Ray Harrison, Presbyterian (Big South)",So.,6-4,G,32,181,53,131,546,17.1,2022
102,"Jabari Smith, Auburn (SEC)",Fr.,6-10,F,34,183,79,131,576,16.9,2022
103,"Tari Eason, LSU (SEC)",So.,6-8,F,33,190,28,151,559,16.9,2022
104,"Matt Bradley, San Diego St. (Mountain West)",Sr.,6-4,G,32,186,57,113,542,16.9,2022
105,"Jaelen House, New Mexico (Mountain West)",Jr.,6-0,G,31,167,47,144,525,16.9,2022
106,"KJ Simon, UT Martin (OVC)",Jr.,6-3,G,30,198,42,70,508,16.9,2022
107,"Izaiah Brockington, Iowa St. (Big 12)",Sr.,6-4,G,35,225,34,107,591,16.9,2022
108,"Bryce McGowens, Nebraska (Big Ten)",Fr.,6-7,G,31,160,40,162,522,16.8,2022
109,"Johni Broome, Morehead St. (OVC)",Fr.,6-10,F,34,244,0,84,572,16.8,2022
109,"Tevin Brown, Murray St. (OVC)",Jr.,6-5,G,34,187,106,92,572,16.8,2022
111,"Myles Carter, Delaware St. (MEAC)",Sr.,6-1,G,28,182,30,76,470,16.8,2022
112,"Justin Lewis, Marquette (Big East)",Fr.,6-7,F,32,195,58,89,537,16.8,2022
113,"Alex Barcello, BYU (WCC)",Sr.,6-2,G,35,192,88,115,587,16.8,2022
114,"Marques Warrick, Northern Ky. (Horizon)",So.,6-2,G,32,185,76,90,536,16.8,2022
115,"Joe Bryant, Norfolk St. (MEAC)",Sr.,6-1,G,31,166,57,130,519,16.7,2022
115,"Evan Gilyard II, Kansas City (Summit League)",Sr.,5-10,G,31,171,71,106,519,16.7,2022
117,"James Bishop, George Washington (Atlantic 10)",Jr.,6-2,G,30,172,60,98,502,16.7,2022
118,"Joel Murray, Long Beach St. (Big West)",Jr.,5-11,G,33,193,26,139,551,16.7,2022
119,"Steele Venters, Eastern Wash. (Big Sky)",Fr.,6-7,F,33,185,86,94,550,16.7,2022
120,"Shawn Williams, Ark.-Pine Bluff (SWAC)",Sr.,6-1,G,28,152,86,76,466,16.6,2022
121,"Noah Farrakhan, Eastern Mich. (MAC)",Fr.,6-2,G,26,159,42,72,432,16.6,2022
122,"Mikey Dixon, Idaho (Big Sky)",Sr.,6-2,G,31,155,48,157,515,16.6,2022
123,"Jaden Shackelford, Alabama (SEC)",Jr.,6-3,G,33,178,101,91,548,16.6,2022
124,"Troy Green, New Orleans (Southland)",Sr.,6-3,G,30,166,12,153,497,16.6,2022
125,"Gavin Kensmil, SFA (WAC)",Sr.,6-7,F,32,198,1,133,530,16.6,2022
126,"Linton Acliese, Eastern Wash. (Big Sky)",Jr.,6-6,F,31,193,43,82,511,16.5,2022
127,"Jaylen Forbes, Tulane (AAC)",So.,6-5,G,29,149,75,105,478,16.5,2022
128,", Wofford (SoCon)",-,0-0,,32,199,39,90,527,16.5,2022
129,"Kenneth Lofton, Jr., Louisiana Tech (C-USA)",Fr.,6-7,F,33,208,4,123,543,16.5,2022
130,"Anthony Roberts, Stony Brook (America East)",Sr.,6-4,G,29,168,48,93,477,16.4,2022
131,"Jaylen Sims, UNCW (CAA)",Sr.,6-6,G,36,176,62,178,592,16.4,2022
132,"Douglas Wilson, South Dakota St. (Summit League)",Sr.,6-7,F,34,207,2,141,557,16.4,2022
133,"Trenton Massner, Western Ill. (Summit League)",Jr.,6-3,G,32,200,60,64,524,16.4,2022
134,"Tyler Thomas, Sacred Heart (NEC)",Jr.,6-3,G,30,189,65,48,491,16.4,2022
135,"Keshawn Williams, NIU (MAC)",So.,6-3,G,29,170,32,102,474,16.3,2022
136,"Gaige Prim, Missouri St. (MVC)",Sr.,6-9,F,34,204,7,140,555,16.3,2022
137,"Gibson Jimerson, Saint Louis (Atlantic 10)",Fr.,6-5,G,35,194,87,95,570,16.3,2022
138,"Armando Bacot, North Carolina (ACC)",Jr.,6-10,F,39,244,1,146,635,16.3,2022
139,"Joe Bamisile, George Washington (Atlantic 10)",So.,6-4,G,30,189,60,50,488,16.3,2022
140,"E.J. Anosike, Cal St. Fullerton (Big West)",Sr.,6-7,F,32,188,8,136,520,16.2,2022
140,"Terquavion Smith, NC State (ACC)",Fr.,6-4,G,32,182,96,60,520,16.2,2022
142,"Ben Sheppard, Belmont (OVC)",Jr.,6-6,G,33,191,72,82,536,16.2,2022
143,"Baylor Scheierman, South Dakota St. (Summit League)",So.,6-7,G,35,194,83,97,568,16.2,2022
144,"Gerrale Gates, Holy Cross (Patriot)",Sr.,6-6,F,28,175,4,100,454,16.2,2022
145,"Foster Loyer, Davidson (Atlantic 10)",Jr.,6-0,G,29,139,74,118,470,16.2,2022
146,"Ben Shungu, Vermont (America East)",Sr.,6-2,G,34,208,65,70,551,16.2,2022
147,"Darius Quisenberry, Fordham (Atlantic 10)",Sr.,6-2,G,26,137,58,89,421,16.2,2022
148,"Dayvion McKnight, Western Ky. (C-USA)",So.,6-1,G,32,194,14,116,518,16.2,2022
149,"Colin Castleton, Florida (SEC)",Sr.,6-11,F,28,172,0,109,453,16.2,2022
150,"Desmond Cambridge Jr., Nevada (Mountain West)",Sr.,6-4,G,30,178,87,42,485,16.2,2022
151,"Austin Williams, Hartford (America East)",Sr.,6-4,G,27,163,24,86,436,16.1,2022
152,"Jeriah Horne, Tulsa (AAC)",Sr.,6-7,F,31,170,66,93,499,16.1,2022
153,"Eric Reed, Jr., Southeast Mo. St. (OVC)",Jr.,6-2,G,30,155,71,101,482,16.1,2022
154,"Tyler Burton, Richmond (Atlantic 10)",Jr.,6-7,F,37,187,57,163,594,16.1,2022
155,"Tosan Evbuomwan, Princeton (Ivy League)",Jr.,6-8,F,28,184,2,79,449,16,2022
156,"Jalen Johnson, Alabama A&M (SWAC)",Jr.,6-7,F,30,183,2,111,479,16,2022
157,"Aaron Clarke, Sacred Heart (NEC)",Sr.,6-1,G,25,128,41,102,399,16,2022
158,"Payton Willis, Minnesota (Big Ten)",Sr.,6-4,G,29,169,74,50,462,15.9,2022
159,"Caleb Love, North Carolina (ACC)",So.,6-4,G,39,198,93,132,621,15.9,2022
160,"Ron Harper Jr., Rutgers (Big Ten)",Sr.,6-6,G,32,171,68,97,507,15.8,2022
161,"Hyunjung Lee, Davidson (Atlantic 10)",Jr.,6-7,G,34,182,80,94,538,15.8,2022
162,"Joe French, Bethune-Cookman (SWAC)",Jr.,6-5,G,28,153,75,62,443,15.8,2022
163,"RJ Cole, UConn (Big East)",Sr.,6-1,G,33,177,59,109,522,15.8,2022
164,"Bryson Mozone, USC Upstate (Big South)",Sr.,6-6,G,32,179,71,77,506,15.8,2022
165,"Jovan Blacksher Jr., Grand Canyon (WAC)",So.,5-11,G,31,178,61,73,490,15.8,2022
166,"Kyle Foster, Howard (MEAC)",Sr.,6-6,G,29,141,105,71,458,15.8,2022
167,"Nick Muszynski, Belmont (OVC)",Sr.,6-11,C,32,198,7,102,505,15.8,2022
168,"Camren Wynter, Drexel (CAA)",Sr.,6-2,G,29,177,35,68,457,15.8,2022
169,"Keve Aluma, Virginia Tech (ACC)",Sr.,6-9,F,36,220,25,102,567,15.8,2022
170,"Drew Pember, UNC Asheville (Big South)",Jr.,6-10,F,31,157,36,138,488,15.7,2022
170,"Daeqwon Plowden, Bowling Green (MAC)",Sr.,6-6,F,31,164,42,118,488,15.7,2022
172,"Mike Bothwell, Furman (SoCon)",Sr.,6-3,G,34,184,59,108,535,15.7,2022
173,"Jaelin Llewellyn, Princeton (Ivy League)",Sr.,6-2,G,28,168,64,39,439,15.7,2022
174,"Kamdyn Curfman, VMI (SoCon)",Jr.,6-0,G,32,172,117,40,501,15.7,2022
175,"Amadou Sow, UC Santa Barbara (Big West)",Sr.,6-9,F,28,180,10,68,438,15.6,2022
176,"Josip Vrankic, Santa Clara (WCC)",Sr.,6-8,F,25,153,12,73,391,15.6,2022
177,"Rocky Kreuser, North Dakota St. (Summit League)",Sr.,6-10,F,33,169,59,119,516,15.6,2022
178,"Johnny Juzang, UCLA (Pac-12)",Jr.,6-7,G,30,179,45,66,469,15.6,2022
179,"Collin Gillespie, Villanova (Big East)",Sr.,6-2,G,38,188,113,105,594,15.6,2022
180,"Miles Coleman, NJIT (America East)",Sr.,6-5,F,29,163,45,81,452,15.6,2022
180,"Andre Jones, ULM (Sun Belt)",Sr.,6-4,G,29,180,20,72,452,15.6,2022
182,"RJ Glasper, UIW (Southland)",Sr.,6-0,G,31,172,61,78,483,15.6,2022
183,"Jared Rhoden, Seton Hall (Big East)",Sr.,6-6,F,31,167,38,110,482,15.5,2022
184,"D'Shawn Schwartz, George Mason (Atlantic 10)",Sr.,6-7,G,30,170,76,50,466,15.5,2022
185,"D'Moi Hodge, Cleveland St. (Horizon)",Sr.,6-4,G,31,174,61,71,480,15.5,2022
186,"PJ Hall, Clemson (ACC)",So.,6-10,F,30,179,24,82,464,15.5,2022
186,"Jalen Moore, Oakland (Horizon)",Jr.,5-11,G,30,134,38,158,464,15.5,2022
188,"Kendal Coleman, Northwestern St. (Southland)",So.,6-8,C,30,203,0,57,463,15.4,2022
189,"Charles Manning, Jr., South Alabama (Sun Belt)",Sr.,6-4,G,31,173,26,106,478,15.4,2022
190,"Carl Pierre, Rice (C-USA)",Sr.,6-4,G,33,180,97,51,508,15.4,2022
191,"Darian Adams, Jacksonville St. (ASUN)",Sr.,6-3,G,31,158,70,91,477,15.4,2022
192,"Mike Miles, TCU (Big 12)",So.,6-1,G,31,163,43,107,476,15.4,2022
193,"Jayden Gardner, Virginia (ACC)",Sr.,6-6,F,35,219,3,96,537,15.3,2022
194,"Jordan Brown, Louisiana (Sun Belt)",So.,6-11,F,27,162,12,78,414,15.3,2022
195,"Jalen Adaway, St. Bonaventure (Atlantic 10)",Sr.,6-5,F,32,189,41,71,490,15.3,2022
196,"Isaiah Wong, Miami (FL) (ACC)",So.,6-4,G,37,207,48,104,566,15.3,2022
197,"Vado Morse, James Madison (CAA)",Jr.,6-0,G,29,144,73,82,443,15.3,2022
198,"Tyler Robertson, Portland (WCC)",So.,6-6,G,32,155,57,121,488,15.2,2022
198,"Jao Ituka, Marist (MAAC)",Fr.,6-1,G,28,151,16,109,427,15.2,2022
200,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Sr.,6-5,G,33,172,72,87,503,15.2,2022
201,"Jay Jay Chandler, South Alabama (Sun Belt)",Sr.,6-4,G,29,154,34,100,442,15.2,2022
202,"Ahsan Asadullah, Lipscomb (ASUN)",Jr.,6-9,C,25,159,9,54,381,15.2,2022
203,"Kario Oquendo, Georgia (SEC)",So.,6-4,,31,163,37,109,472,15.2,2022
204,"Najee Garvin, Hampton (Big South)",Sr.,6-8,F,28,153,17,103,426,15.2,2022
205,"Vince Cole, Coastal Carolina (Sun Belt)",Sr.,6-6,G,33,176,85,65,502,15.2,2022
206,"Tevin Brewer, FIU (C-USA)",Jr.,5-8,G,30,161,66,68,456,15.2,2022
206,"Chase Johnston, Stetson (ASUN)",So.,6-3,G,30,157,99,43,456,15.2,2022
208,"Jacob Germany, UTSA (C-USA)",Jr.,6-11,C,32,196,1,92,485,15.2,2022
209,"KJ Hunt, Denver (Summit League)",Jr.,6-3,G,30,167,27,93,454,15.1,2022
210,"Elijah Pepper, UC Davis (Big West)",So.,6-4,G,24,126,56,55,363,15.1,2022
211,"Brady Manek, North Carolina (ACC)",Sr.,6-9,F,39,219,98,53,589,15.1,2022
212,"Marcus Domask, Southern Ill. (MVC)",Jr.,6-6,F,31,161,43,103,468,15.1,2022
213,"Josh Bannan, Montana (Big Sky)",So.,6-10,F,32,170,25,118,483,15.1,2022
213,"Fatts Russell, Maryland (Big Ten)",Sr.,5-10,G,32,160,46,117,483,15.1,2022
215,"Sukhmail Mathon, Boston U. (Patriot)",Sr.,6-10,F,35,183,1,161,528,15.1,2022
216,"Jawaun Daniels, Prairie View (SWAC)",Sr.,6-7,G,25,135,39,68,377,15.1,2022
217,"Kruz Perrott-Hunt, South Dakota (Summit League)",Jr.,6-3,G,31,154,56,102,466,15,2022
218,"D.J. Burns Jr., Winthrop (Big South)",Jr.,6-9,F,32,214,0,53,481,15,2022
219,"Setric Millner Jr., Toledo (MAC)",Jr.,6-7,F,34,192,49,78,511,15,2022
220,"JT Shumate, Toledo (MAC)",Jr.,6-7,F,34,185,67,73,510,15,2022
220,"Noah Carter, UNI (MVC)",Jr.,6-6,F,32,170,40,100,480,15,2022
220,"Ezra Manjon, UC Davis (Big West)",So.,6-0,G,24,147,8,58,360,15,2022
223,"Cooper Neese, Indiana St. (MVC)",Jr.,6-4,G,26,132,60,65,389,15,2022
224,"Dwayne Cohill, Youngstown St. (Horizon)",Jr.,6-2,G,34,171,34,132,508,14.9,2022
225,"Noah Fernandes, Massachusetts (Atlantic 10)",Jr.,5-11,G,28,145,45,83,418,14.9,2022
225,"Jayden Martinez, New Hampshire (America East)",Sr.,6-7,F,28,158,56,46,418,14.9,2022
227,"George Papas, Monmouth (MAAC)",Sr.,6-5,G,34,148,103,108,507,14.9,2022
228,"Max Klesmit, Wofford (SoCon)",So.,6-3,G,31,156,68,82,462,14.9,2022
229,"Ronaldo Segu, Buffalo (MAC)",Sr.,6-0,G,30,164,47,72,447,14.9,2022
230,"Russell (Deuce) Dean, Hampton (Big South)",Jr.,6-5,G,28,122,34,139,417,14.9,2022
231,"Damian Dunn, Temple (AAC)",Fr.,6-5,G,27,125,31,121,402,14.9,2022
231,"Tyson Etienne, Wichita St. (AAC)",So.,6-2,G,27,133,73,63,402,14.9,2022
