Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
197,"Keith Braxton, Saint Francis (PA) (NEC)",Jr.,6-5,G,33,182,41,123,528,16,2019
197,"Cameron Healy, UAlbany (America East)",Fr.,6-3,G,32,166,104,76,512,16,2019
197,"Steven Santa Ana, Elon (CAA)",Sr.,6-4,G,31,167,71,91,496,16,2019
197,"Noah Horchler, North Florida (ASUN)",Jr.,6-8,F,28,192,21,43,448,16,2019
201,"Alpha Diallo, Providence (Big East)",Jr.,6-7,G,34,176,40,151,543,16,2019
201,"Devin Watson, San Diego St. (Mountain West)",Sr.,6-1,G,34,168,89,118,543,16,2019
203,"Rapolas Ivanauskas, Colgate (Patriot)",Jr.,6-10,F,35,207,43,101,558,15.9,2019
204,"B.J. Taylor, UCF (AAC)",Sr.,6-2,G,33,139,61,187,526,15.9,2019
204,"Marlain Veal, Southeastern La. (Southland)",Sr.,5-9,G,33,148,70,160,526,15.9,2019
206,"Bryce Brown, Auburn (SEC)",Sr.,6-3,G,40,204,141,88,637,15.9,2019
207,"Jalen McDaniels, San Diego St. (Mountain West)",So.,6-10,F,34,212,24,93,541,15.9,2019
208,"Phil Fayne, Illinois St. (MVC)",Sr.,6-9,F,33,199,0,126,524,15.9,2019
209,"Evan Fisher, Siena (MAAC)",Sr.,6-9,F,31,205,15,67,492,15.9,2019
210,"David Collins, South Fla. (AAC)",So.,6-3,G,37,167,47,206,587,15.9,2019
211,"Adam Flagler, Presbyterian (Big South)",Fr.,6-3,G,36,196,108,71,571,15.9,2019
212,"Rickey McGill, Iona (MAAC)",Sr.,6-1,G,33,173,47,130,523,15.8,2019
213,"Nate Sestina, Bucknell (Patriot)",Sr.,6-9,C,31,185,41,80,491,15.8,2019
214,"Darius Roy, Milwaukee (Horizon)",Jr.,6-2,G,29,164,45,86,459,15.8,2019
215,"Malik Moore, USC Upstate (Big South)",Sr.,6-6,F,28,156,44,87,443,15.8,2019
216,"Eric Carter, Delaware (CAA)",Sr.,6-9,F,32,190,2,124,506,15.8,2019
217,"Jalen Pickett, Siena (MAAC)",Fr.,6-4,G,33,184,65,88,521,15.8,2019
218,"Kalin Fisher, Hampton (Big South)",Sr.,6-2,G,35,182,55,133,552,15.8,2019
219,"Jordan Walker, Morehead St. (OVC)",Jr.,6-0,G,33,168,72,112,520,15.8,2019
