Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
182,"Isaiah Moses, UC Riverside (Big West)",So.,6-1,G,33,125,3.8,2019
182,"Jamarii Thomas, Norfolk St. (MEAC)",Jr.,6-0,G,33,125,3.8,2019
184,"Eric Acker, LIU (NEC)",Fr.,6-2,G,26,98,3.8,2019
185,"Chase Forte, Northwestern St. (Southland)",Jr.,6-4,G,32,120,3.8,2019
186,"Quimari Peterson, ETSU (SoCon)",Jr.,6-1,G,35,131,3.7,2019
187,"Darius Johnson, UCF (Big 12)",Jr.,6-1,G,33,123,3.7,2019
188,"Xaivian Lee, Princeton (Ivy League)",So.,6-3,G,29,108,3.7,2019
189,"Pelle Larsson, Arizona (Pac-12)",Sr.,6-5,G,36,134,3.7,2019
190,"Dylan Andrews, UCLA (Pac-12)",So.,6-2,G,32,119,3.7,2019
190,"Mark Butler, Lafayette (Patriot)",Fr.,5-10,G,32,119,3.7,2019
190,"Quinn Denker, Idaho (Big Sky)",Jr.,6-3,G,32,119,3.7,2019
190,"Eddie Turner III, Montana St. (Big Sky)",Sr.,6-2,G,32,119,3.7,2019
194,"Shykeim Phillips, UNCW (CAA)",Sr.,6-2,G,31,115,3.7,2019
195,"Nick Spinoso, Penn (Ivy League)",Jr.,6-9,C,29,107,3.7,2019
196,"Mika Adams-Woods, St. Bonaventure (Atlantic 10)",Sr.,6-3,G,32,118,3.7,2019
196,"Dalton Banks, Illinois St. (MVC)",Sr.,6-2,G,32,118,3.7,2019
196,"Lynn Greer III, Saint Joseph's (Atlantic 10)",Jr.,6-2,G,32,118,3.7,2019
196,"Tyrese Proctor, Duke (ACC)",So.,6-5,G,32,118,3.7,2019
200,"Chico Carter, Jr., DePaul (Big East)",Sr.,6-3,G,25,92,3.7,2019
201,"Tucker DeVries, Drake (MVC)",Jr.,6-7,G,34,125,3.7,2019
202,"Rytis Petraitis, Air Force (Mountain West)",So.,6-7,F,24,88,3.7,2019
203,"Kaleb Higgins, CSU Bakersfield (Big West)",Sr.,5-10,G,32,117,3.7,2019
203,"Luis Kortright, Rhode Island (Atlantic 10)",Jr.,6-3,G,32,117,3.7,2019
205,"Isaiah Adams, Buffalo (MAC)",Sr.,6-6,F,26,95,3.7,2019
206,"Max Shulga, VCU (Atlantic 10)",Sr.,6-4,G,37,135,3.6,2019
207,"Jonathan Mogbo, San Francisco (WCC)",Jr.,6-8,F,34,124,3.6,2019
208,"Jordan Jones, Central Conn. St. (NEC)",Sr.,6-0,G,31,113,3.6,2019
208,"Kareem Thompson, Oral Roberts (Summit League)",Sr.,6-5,G,31,113,3.6,2019
210,"Devin Carter, Providence (Big East)",Jr.,6-3,G,33,120,3.6,2019
211,"Ty-Laur Johnson, Louisville (ACC)",Fr.,6-0,G,30,109,3.6,2019
212,"Cam Spencer, UConn (Big East)",Sr.,6-4,G,40,145,3.6,2019
213,"Kylan Boswell, Arizona (Pac-12)",So.,6-2,G,36,130,3.6,2019
214,"Chris Pryor, Lamar University (Southland)",Sr.,5-11,G,33,119,3.6,2019
214,"Xander Rice, Monmouth (CAA)",Sr.,6-3,G,33,119,3.6,2019
216,"Tanner Holden, Wright St. (Horizon)",Sr.,6-6,G,32,115,3.6,2019
217,"Braden Housley, Southern Utah (WAC)",So.,6-4,G,31,111,3.6,2019
217,"Kellen Tynes, Maine (America East)",Jr.,6-3,G,31,111,3.6,2019
217,"Cobe Williams, Tulsa (AAC)",Sr.,6-0,G,31,111,3.6,2019
220,"Duke Miles, High Point (Big South)",Jr.,6-3,G,33,118,3.6,2019
220,"Deywilk Tavarez, Delaware St. (MEAC)",Fr.,6-2,G,33,118,3.6,2019
222,"Kino Lilly Jr., Brown (Ivy League)",Jr.,6-0,G,30,107,3.6,2019
222,"Alston Mason, Missouri St. (MVC)",Jr.,6-2,G,30,107,3.6,2019
