Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
319,"Santiago Vescovi, Tennessee (SEC)",So.,6-3,G,27,84,3.1,2021
319,"Jonas James, Jackson St. (SWAC)",Sr.,6-0,G,18,56,3.1,2021
322,"Drew Lutz, UIW (Southland)",So.,6-1,G,19,59,3.1,2021
323,"Ant Nelson, Manhattan (MAAC)",Jr.,6-4,G,20,62,3.1,2021
323,"Trent Stephney, UNC Asheville (Big South)",So.,6-2,G,20,62,3.1,2021
325,"Elyjah Williams, FDU (NEC)",Sr.,6-7,F,21,65,3.1,2021
326,"Shaun Williams, CSU Bakersfield (Big West)",So.,6-3,G,22,68,3.1,2021
327,"Eric Boone, Ga. Southern (Sun Belt)",Jr.,6-2,G,24,74,3.1,2021
327,"Isiaih Mosley, Missouri St. (MVC)",So.,6-5,G,24,74,3.1,2021
329,"Davion Mintz, Kentucky (SEC)",Sr.,6-3,G,25,77,3.1,2021
330,"Darian Adams, Jacksonville St. (OVC)",Sr.,6-3,G,27,83,3.1,2021
330,"Justin Hill, Longwood (Big South)",Fr.,6-0,G,27,83,3.1,2021
332,"Kadary Richmond, Syracuse (ACC)",Fr.,6-5,G,28,86,3.1,2021
333,"Payton Willis, Col. of Charleston (CAA)",Sr.,6-4,G,19,58,3.1,2021
334,"Trae Berhow, UNI (MVC)",Sr.,6-5,G,22,67,3,2021
334,"Isaiah Coleman-Lands, Miami (OH) (MAC)",Jr.,6-0,G,22,67,3,2021
334,"Taevion Kinsey, Marshall (CUSA)",Jr.,6-5,G,22,67,3,2021
337,"Tyler Robertson, Eastern Wash. (Big Sky)",So.,6-6,G,23,70,3,2021
338,"Pj Pipes, Green Bay (Horizon)",Sr.,6-2,G,24,73,3,2021
339,"Sam Griesel, North Dakota St. (Summit League)",Jr.,6-6,G,27,82,3,2021
340,"Jeff Gary, Mercer (SoCon)",Jr.,6-4,G,29,88,3,2021
341,"Cameron Krutwig, Loyola Chicago (MVC)",Sr.,6-9,C,30,91,3,2021
342,"Franz Wagner, Michigan (Big Ten)",So.,6-8,G,28,84,3,2021
342,"Reece Beekman, Virginia (ACC)",Fr.,6-3,G,25,75,3,2021
342,"Cavit Ege Havsa, Rice (CUSA)",Sr.,6-5,G,25,75,3,2021
342,"Davion Warren , Hampton (Big South)",Sr.,6-6,G,25,75,3,2021
342,"Bryce Hamilton, UNLV (Mountain West)",Jr.,6-4,G,24,72,3,2021
342,"Gaige Prim, Missouri St. (MVC)",Sr.,6-8,F,24,72,3,2021
342,"Isiah Brown, Weber St. (Big Sky)",Sr.,6-2,G,23,69,3,2021
342,"Dalvin White, USC Upstate (Big South)",Jr.,5-10,G,23,69,3,2021
342,"Raheim Sullivan, Marist (MAAC)",Jr.,6-1,G,21,63,3,2021
342,"Marcus Hammond, Niagara (MAAC)",Jr.,6-1,G,20,60,3,2021
342,"LJ Thorpe, UNC Asheville (Big South)",Jr.,6-5,G,20,60,3,2021
342,"Ikenna Ndugba, Elon (CAA)",Sr.,6-0,G,19,57,3,2021
342,"Will Martinez, Wagner (NEC)",Sr.,6-5,G,17,51,3,2021
Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Yuri Collins, Saint Louis (Atlantic 10)",So.,6-0,G,34,267,7.9,2022
2,"Jalen Moore, Oakland (Horizon)",Jr.,5-11,G,30,231,7.7,2022
3,"Sahvir Wheeler, Kentucky (SEC)",Jr.,5-9,G,30,207,6.9,2022
4,"Grant Sherfield, Nevada (Mountain West)",Jr.,6-2,G,28,179,6.4,2022
5,"Hunter Maldonado, Wyoming (Mountain West)",Sr.,6-7,G,33,207,6.3,2022
6,"Tavian Dunn-Martin, FGCU (ASUN)",Sr.,5-8,G,33,198,6,2022
7,"Ta'lon Cooper, Morehead St. (OVC)",So.,6-4,G,34,202,5.9,2022
8,"Tyler Kolek, Marquette (Big East)",Fr.,6-3,G,32,188,5.9,2022
9,"Kyle Lofton, St. Bonaventure (Atlantic 10)",Sr.,6-3,G,30,176,5.9,2022
10,"Jamal Shead, Houston (AAC)",So.,6-1,G,38,221,5.8,2022
11,"Jordan Hall, Saint Joseph's (Atlantic 10)",So.,6-7,F,30,174,5.8,2022
12,"James Akinjo, Baylor (Big 12)",Jr.,6-0,G,32,185,5.8,2022
13,"Grayson Murphy, Belmont (OVC)",Sr.,6-3,G,33,190,5.8,2022
14,"Andrew Nembhard, Gonzaga (WCC)",Sr.,6-5,G,32,184,5.8,2022
15,"Tevin Brewer, FIU (C-USA)",Jr.,5-8,G,30,169,5.6,2022
16,"Elijah Hawkins, Howard (MEAC)",Fr.,5-11,G,28,156,5.6,2022
17,"Dayvion McKnight, Western Ky. (C-USA)",So.,6-1,G,32,176,5.5,2022
17,"Adrian Baldwin Jr., VCU (Atlantic 10)",So.,6-0,G,24,132,5.5,2022
19,"Posh Alexander, St. John's (NY) (Big East)",So.,6-0,G,29,159,5.5,2022
20,"Dashawn Davis, Oregon St. (Pac-12)",Jr.,6-2,G,27,148,5.5,2022
21,"Alonzo Verge Jr., Nebraska (Big Ten)",Sr.,6-3,G,31,169,5.5,2022
22,"Ebrima Dibba, Coastal Carolina (Sun Belt)",Jr.,6-6,G,32,173,5.4,2022
23,"Aaron Cook, Georgia (SEC)",Sr.,6-2,G,31,166,5.4,2022
24,"Jacob Gilyard, Richmond (Atlantic 10)",Sr.,5-9,G,37,198,5.4,2022
25,"Malachi Smith, Dayton (Atlantic 10)",Fr.,6-0,G,33,175,5.3,2022
26,"Stephan Swenson, Stetson (ASUN)",So.,6-2,G,30,159,5.3,2022
27,"Paul Mulcahy, Rutgers (Big Ten)",Jr.,6-6,G,32,169,5.3,2022
28,"Noah Fernandes, Massachusetts (Atlantic 10)",Jr.,5-11,G,28,147,5.2,2022
29,"Reece Beekman, Virginia (ACC)",So.,6-3,G,35,181,5.2,2022
29,"Alondes Williams, Wake Forest (ACC)",Sr.,6-5,G,35,181,5.2,2022
31,"Javon Levi, UT Arlington (Sun Belt)",Sr.,5-11,G,29,148,5.1,2022
32,"Justice Hill, Murray St. (OVC)",So.,6-0,G,34,173,5.1,2022
33,"Tosan Evbuomwan, Princeton (Ivy League)",Jr.,6-8,F,28,142,5.1,2022
34,"Ronaldo Segu, Buffalo (MAC)",Sr.,6-0,G,30,152,5.1,2022
35,"Wendell Green Jr., Auburn (SEC)",So.,5-11,G,34,172,5.1,2022
35,"Xavier Johnson, Indiana (Big Ten)",Sr.,6-3,G,34,172,5.1,2022
37,"Markquis Nowell, Kansas St. (Big 12)",Sr.,5-8,G,27,136,5,2022
38,"Tristen Newton, East Carolina (AAC)",Jr.,6-5,G,30,151,5,2022
39,"Aaron Estrada, Hofstra (CAA)",Jr.,6-3,G,32,160,5,2022
39,"David Sloan, ETSU (SoCon)",Sr.,6-0,G,32,160,5,2022
39,"Darrion Trammell, Seattle U (WAC)",So.,5-10,G,31,155,5,2022
42,"Jordan Walker, UAB (C-USA)",Jr.,5-11,G,34,168,4.9,2022
43,"Tyrese Hunter, Iowa St. (Big 12)",Fr.,6-0,G,35,172,4.9,2022
44,"Mike Mitchell Jr., Pepperdine (WCC)",Fr.,6-2,G,32,156,4.9,2022
45,"Terrell Burden, Kennesaw St. (ASUN)",Jr.,5-10,G,30,146,4.9,2022
46,"Kevin Johnson, UIC (Horizon)",Sr.,5-10,G,27,131,4.9,2022
47,"A.J. Hoggard, Michigan St. (Big Ten)",So.,6-4,G,36,174,4.8,2022
48,"Jordan McCabe, UNLV (Mountain West)",Sr.,6-0,G,31,148,4.8,2022
49,"Sincere Carry, Kent St. (MAC)",Sr.,6-1,G,34,162,4.8,2022
50,"Xavier Pinson, LSU (SEC)",Sr.,6-2,G,28,133,4.8,2022
51,"Isaiah Stevens, Colorado St. (Mountain West)",Jr.,6-0,G,31,147,4.7,2022
52,"Kennedy Chandler, Tennessee (SEC)",Fr.,6-0,G,34,161,4.7,2022
53,"Te'Jon Lucas, BYU (WCC)",Sr.,6-2,G,34,160,4.7,2022
54,"Kerr Kriisa, Arizona (Pac-12)",So.,6-3,G,33,155,4.7,2022
55,"Dwight Murray, Jr., Rider (MAAC)",Sr.,6-0,G,32,150,4.7,2022
56,"Kameron Langley, N.C. A&T (Big South)",Sr.,6-2,G,31,145,4.7,2022
57,"Charlie Moore, Miami (FL) (ACC)",Sr.,5-11,G,37,172,4.6,2022
58,"Kenneth Jones, Loyola Maryland (Patriot)",Sr.,6-0,G,30,139,4.6,2022
58,"Kevin Miller, Central Mich. (MAC)",Fr.,6-0,G,30,139,4.6,2022
60,"Xavier Johnson, George Mason (Atlantic 10)",Jr.,6-1,G,28,129,4.6,2022
61,"Omari Moore, San Jose St. (Mountain West)",So.,6-6,G,30,138,4.6,2022
62,"DeVante' Jones, Michigan (Big Ten)",Sr.,6-1,G,33,151,4.6,2022
63,"Ahsan Asadullah, Lipscomb (ASUN)",Jr.,6-9,C,25,114,4.6,2022
64,"Camren Wynter, Drexel (CAA)",Sr.,6-2,G,29,132,4.6,2022
65,"Jose Perez, Manhattan (MAAC)",Sr.,6-5,G,30,136,4.5,2022
66,"Cameron Parker, Montana (Big Sky)",Sr.,6-2,G,32,145,4.5,2022
67,"Baylor Scheierman, South Dakota St. (Summit League)",So.,6-7,G,35,158,4.5,2022
68,"Scotty Pippen Jr., Vanderbilt (SEC)",Jr.,6-3,G,36,162,4.5,2022
69,"Damion Baugh, TCU (Big 12)",Jr.,6-4,G,31,139,4.5,2022
69,"Jaelen House, New Mexico (Mountain West)",Jr.,6-0,G,31,139,4.5,2022
69,"Rylan Jones, Utah St. (Mountain West)",Jr.,6-1,G,31,139,4.5,2022
72,"Kejuan Clements, Eastern Ill. (OVC)",Jr.,6-2,G,27,121,4.5,2022
73,"Tyler Robertson, Portland (WCC)",So.,6-6,G,32,143,4.5,2022
74,"Ques Glover, Samford (SoCon)",So.,6-0,G,29,129,4.4,2022
75,"Kendric Davis, SMU (AAC)",Sr.,5-11,G,32,142,4.4,2022
76,"Antoine Davis, Detroit Mercy (Horizon)",Sr.,6-1,G,29,128,4.4,2022
76,"Caleb Fields, Arkansas St. (Sun Belt)",So.,6-0,G,29,128,4.4,2022
78,"Wendell Moore Jr., Duke (ACC)",Jr.,6-5,F,39,172,4.4,2022
79,"Ryan Nembhard, Creighton (Big East)",Fr.,6-0,G,27,119,4.4,2022
80,"Ricky Nelson, UTRGV (WAC)",Jr.,6-1,G,30,132,4.4,2022
80,"Darius Perry, UCF (AAC)",Sr.,6-2,G,30,132,4.4,2022
82,"Andrew Taylor, Marshall (C-USA)",Jr.,6-3,G,33,145,4.4,2022
83,"Kihei Clark, Virginia (ACC)",Sr.,5-10,G,35,153,4.4,2022
84,"Jalen Pickett, Penn St. (Big Ten)",Sr.,6-4,G,31,135,4.4,2022
85,"JD Davison, Alabama (SEC)",Fr.,6-3,G,33,143,4.3,2022
85,"Zyon Pullin, UC Riverside (Big West)",So.,6-4,G,27,117,4.3,2022
87,"Rylan Bergersen, Eastern Wash. (Big Sky)",Sr.,6-6,G,34,147,4.3,2022
88,"Boo Buie, Northwestern (Big Ten)",Jr.,6-2,G,31,134,4.3,2022
89,"Jeremiah Williams, Temple (AAC)",Fr.,6-4,G,22,95,4.3,2022
90,"Pierre Crockrell II, Pacific (WCC)",Jr.,6-0,G,30,129,4.3,2022
91,"Payton Willis, Minnesota (Big Ten)",Sr.,6-4,G,29,124,4.3,2022
92,"Tyger Campbell, UCLA (Pac-12)",Jr.,5-11,G,33,141,4.3,2022
93,"Jalen Finch, Jacksonville St. (ASUN)",Jr.,6-1,G,31,132,4.3,2022
94,"Tyson Walker, Michigan St. (Big Ten)",Jr.,6-1,G,36,153,4.2,2022
94,"Terrell Brown Jr., Washington (Pac-12)",Sr.,6-3,G,32,136,4.2,2022
94,"Drew Buggs, Winthrop (Big South)",Sr.,6-2,G,32,136,4.2,2022
94,"Keishawn Davidson, Tennessee Tech (OVC)",So.,6-2,G,32,136,4.2,2022
98,"Kyle Rode, Liberty (ASUN)",Jr.,6-7,F,33,140,4.2,2022
99,"Justin Hill, Longwood (Big South)",So.,6-0,G,31,131,4.2,2022
99,"Taevion Kinsey, Marshall (C-USA)",Sr.,6-5,G,31,131,4.2,2022
99,"Jayden Saddler, Southern U. (SWAC)",Sr.,6-1,G,31,131,4.2,2022
102,"Xavier Bishop, Montana St. (Big Sky)",Sr.,5-8,G,35,147,4.2,2022
103,"Elijah Gonzales, ULM (Sun Belt)",Jr.,5-11,G,27,113,4.2,2022
104,"Joseph Girard III, Syracuse (ACC)",Jr.,6-1,G,33,138,4.2,2022
105,"Jahvon Quinerly, Alabama (SEC)",Sr.,6-1,G,33,137,4.2,2022
105,"Jalen Williams, Santa Clara (WCC)",Jr.,6-6,G,33,137,4.2,2022
107,"Dajuan Harris, Kansas (Big 12)",Jr.,6-1,G,40,166,4.2,2022
108,"Mark Sears, Ohio (MAC)",So.,6-1,G,35,145,4.1,2022
109,"Terry Roberts, Bradley (MVC)",Jr.,6-3,G,31,128,4.1,2022
110,"Dae Dae Grant, Miami (OH) (MAC)",Jr.,6-2,G,32,132,4.1,2022
110,"Kadary Richmond, Seton Hall (Big East)",So.,6-6,G,32,132,4.1,2022
112,"RJ Cole, UConn (Big East)",Sr.,6-1,G,33,136,4.1,2022
113,"Walyn Napper, Southern Miss. (C-USA)",So.,6-1,G,33,135,4.1,2022
114,"RayJ Dennis, Toledo (MAC)",Jr.,6-2,G,34,139,4.1,2022
115,"Aaron Clarke, Sacred Heart (NEC)",Sr.,6-1,G,25,102,4.1,2022
116,"Alex Lomax, Memphis (AAC)",Sr.,6-0,G,28,114,4.1,2022
116,"Camren Pierce, Cal Poly (Big West)",So.,5-10,G,28,114,4.1,2022
118,"Dante Harris, Georgetown (Big East)",So.,6-0,G,29,118,4.1,2022
119,"Trent Frazier, Illinois (Big Ten)",Sr.,6-2,G,31,126,4.1,2022
120,"Paul Scruggs, Xavier (Big East)",Sr.,6-5,G,33,134,4.1,2022
121,"John Knight III, Southern Utah (Big Sky)",Sr.,6-2,G,35,142,4.1,2022
122,"Jalen Benjamin, Mount St. Mary's (NEC)",Jr.,5-10,G,29,117,4,2022
122,"Jared Bynum, Providence (Big East)",Jr.,5-10,G,29,117,4,2022
122,"Bryce Fowler, Sacramento St. (Big Sky)",Sr.,6-6,G,29,117,4,2022
122,"Kaleb Thornton, NIU (MAC)",Jr.,6-0,G,29,117,4,2022
126,"Marreon Jackson, Arizona St. (Pac-12)",Sr.,6-1,G,31,125,4,2022
126,"Tyler Moffe, The Citadel (SoCon)",Sr.,6-1,G,31,125,4,2022
128,"Prentiss Hubb, Notre Dame (ACC)",Sr.,6-3,G,35,140,4,2022
128,"Jaylin Hunter, Old Dominion (C-USA)",So.,5-11,G,32,128,4,2022
128,"Jovan Blacksher Jr., Grand Canyon (WAC)",So.,5-11,G,31,124,4,2022
128,"Jamal Bieniemy, UTEP (C-USA)",Jr.,6-4,G,30,120,4,2022
128,"Kevion Nolan, Jacksonville (ASUN)",Jr.,6-2,G,25,100,4,2022
133,"Jamaree Bouyea, San Francisco (WCC)",Sr.,6-2,G,34,135,4,2022
134,"Trenton Massner, Western Ill. (Summit League)",Jr.,6-3,G,32,127,4,2022
135,"Neal Quinn, Lafayette (Patriot)",Jr.,7-0,F,30,119,4,2022
136,"Trey Bonham, VMI (SoCon)",So.,6-0,G,29,115,4,2022
137,"Blondeau Tchoukuiegno, New Hampshire (America East)",So.,6-2,G,28,111,4,2022
138,"Jaden Ray, Sam Houston (WAC)",Jr.,5-10,G,33,130,3.9,2022
139,"Dylan Addae-Wusu, St. John's (NY) (Big East)",So.,6-4,G,32,126,3.9,2022
139,"Bryson Langdon, Northern Ky. (Horizon)",Sr.,5-9,G,32,126,3.9,2022
141,"Justin Thomas, Alcorn (SWAC)",Sr.,5-11,G,30,118,3.9,2022
141,"Tre Wood, LIU (NEC)",Jr.,6-1,G,30,118,3.9,2022
143,"Jesus Carralero, Campbell (Big South)",Jr.,6-8,F,29,114,3.9,2022
143,"Cameron Tucker, Alabama A&M (SWAC)",Jr.,6-1,G,29,114,3.9,2022
145,"Russell (Deuce) Dean, Hampton (Big South)",Jr.,6-5,G,28,110,3.9,2022
146,"Dalen Terry, Arizona (Pac-12)",So.,6-7,G,37,145,3.9,2022
147,"Xander Rice, Bucknell (Patriot)",Jr.,6-3,G,32,125,3.9,2022
148,"Dalvin White, USC Upstate (Big South)",Sr.,5-10,G,31,121,3.9,2022
149,"Shamar Givance, Evansville (MVC)",Sr.,5-10,G,30,117,3.9,2022
150,"Blaze Nield, Utah Valley (WAC)",Jr.,6-1,G,32,124,3.9,2022
150,"Braden Norris, Loyola Chicago (MVC)",Jr.,6-0,G,32,124,3.9,2022
152,"Marcus Domask, Southern Ill. (MVC)",Jr.,6-6,F,31,120,3.9,2022
152,"Kevin Marfo, Quinnipiac (MAAC)",Sr.,6-9,F,31,120,3.9,2022
152,"TyTy Washington Jr., Kentucky (SEC)",Fr.,6-3,G,31,120,3.9,2022
155,"Devante Carter, Nicholls (Southland)",Sr.,6-3,G,30,116,3.9,2022
155,"Jamel Horton Jr., UAlbany (America East)",Sr.,6-3,G,30,116,3.9,2022
157,"Andre Jones, ULM (Sun Belt)",Sr.,6-4,G,29,112,3.9,2022
157,"Roman Penn, Drake (MVC)",Sr.,6-0,G,29,112,3.9,2022
159,"Terrion Murdix, A&M-Corpus Christi (Southland)",Jr.,6-1,G,35,135,3.9,2022
159,"Geo Baker, Rutgers (Big Ten)",Sr.,6-4,G,28,108,3.9,2022
161,"Vonterius Woolbright, Western Caro. (SoCon)",Jr.,6-5,G,27,104,3.9,2022
162,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Sr.,6-5,G,33,127,3.8,2022
163,"Alex Morales, Wagner (NEC)",Sr.,6-6,G,26,100,3.8,2022
164,"Darian Adams, Jacksonville St. (ASUN)",Sr.,6-3,G,31,119,3.8,2022
165,"Mike Miles, TCU (Big 12)",So.,6-1,G,31,118,3.8,2022
166,"Aaron Thompson, Butler (Big East)",Sr.,6-2,G,30,114,3.8,2022
167,"Kane Williams, Georgia St. (Sun Belt)",Sr.,6-4,G,29,110,3.8,2022
168,"Tucker Richardson, Colgate (Patriot)",Sr.,6-5,G,35,132,3.8,2022
169,"David Kachelries, SFA (WAC)",Sr.,6-1,G,32,120,3.8,2022
170,"Tre Anderson, Idaho (Big Sky)",Sr.,6-2,G,31,116,3.7,2022
171,"Drew Lutz, UIW (Southland)",Jr.,6-1,G,27,101,3.7,2022
171,"Ajay Mitchell, UC Santa Barbara (Big West)",Fr.,6-4,G,27,101,3.7,2022
171,"Terry Nolan Jr., Towson (CAA)",Jr.,6-4,G,27,101,3.7,2022
174,"Xavier Bledson, Indiana St. (MVC)",So.,6-6,F,26,97,3.7,2022
175,"JD Notae, Arkansas (SEC)",Sr.,6-2,G,36,134,3.7,2022
176,"Luis Hurtado, Bryant (NEC)",Sr.,6-6,G,32,119,3.7,2022
176,"Fatts Russell, Maryland (Big Ten)",Sr.,5-10,G,32,119,3.7,2022
176,"LJ Thorpe, UNC Asheville (Big South)",Sr.,6-5,G,32,119,3.7,2022
176,"Carson Towt, Northern Ariz. (Big Sky)",Fr.,6-7,F,32,119,3.7,2022
180,"Tommy Kuhse, Saint Mary's (CA) (WCC)",Sr.,6-2,G,34,126,3.7,2022
181,"Jake LaRavia, Wake Forest (ACC)",Jr.,6-8,G,33,122,3.7,2022
182,"Jr. Clay, Tennessee Tech (OVC)",Jr.,6-0,G,32,118,3.7,2022
183,"Ethan Taylor, Air Force (Mountain West)",Fr.,6-5,G,28,103,3.7,2022
184,"Jahmir Young, Charlotte (C-USA)",Jr.,6-2,G,31,114,3.7,2022
185,"Tyree Appleby, Florida (SEC)",Sr.,6-0,G,34,125,3.7,2022
185,"Jalen Slawson, Furman (SoCon)",Sr.,6-7,F,34,125,3.7,2022
187,"Max Abmas, Oral Roberts (Summit League)",Jr.,6-0,G,30,110,3.7,2022
187,"Brayon Freeman, George Washington (Atlantic 10)",Fr.,6-2,G,30,110,3.7,2022
189,"Matt Johnson II, Northern Colo. (Big Sky)",Sr.,6-2,G,38,139,3.7,2022
190,"Eric Boone, N.C. Central (MEAC)",Jr.,6-2,G,29,106,3.7,2022
191,"RJ Davis, North Carolina (ACC)",So.,6-0,G,39,142,3.6,2022
192,"Craig Porter Jr., Wichita St. (AAC)",Jr.,6-2,G,25,91,3.6,2022
193,"Darnell Rogers, UMBC (America East)",Sr.,5-2,G,30,109,3.6,2022
194,"Jalen Cone, Northern Ariz. (Big Sky)",So.,5-11,G,32,116,3.6,2022
194,"Ryan Larson, Wofford (SoCon)",Sr.,6-1,G,32,116,3.6,2022
196,"Ryan Rollins, Toledo (MAC)",So.,6-4,G,34,123,3.6,2022
197,"Stephen Clark, The Citadel (SoCon)",Jr.,6-9,F,31,112,3.6,2022
197,"Tyler Rice, William & Mary (CAA)",Fr.,6-1,G,31,112,3.6,2022
199,"Jovon McClanahan, Hawaii (Big West)",So.,5-10,G,28,101,3.6,2022
200,"Steven Ashworth, Utah St. (Mountain West)",So.,6-1,G,33,119,3.6,2022
200,"Jaren Holmes, St. Bonaventure (Atlantic 10)",Sr.,6-4,G,33,119,3.6,2022
202,"Kevin Anderson, Delaware (CAA)",Sr.,6-5,G,35,126,3.6,2022
202,"Kenny Cooper, Tennessee St. (OVC)",Sr.,6-1,G,30,108,3.6,2022
202,"Will Richardson, Oregon (Pac-12)",Sr.,6-5,G,30,108,3.6,2022
205,"Dimitrius Underwood, Col. of Charleston (CAA)",Sr.,6-4,G,32,115,3.6,2022
206,"Iverson Molinar, Mississippi St. (SEC)",Jr.,6-3,G,34,122,3.6,2022
207,"Sion James, Tulane (AAC)",Fr.,6-5,G,29,104,3.6,2022
208,"Charles Manning, Jr., South Alabama (Sun Belt)",Sr.,6-4,G,31,111,3.6,2022
208,"Michael O'Connell, Stanford (Pac-12)",So.,6-2,G,31,111,3.6,2022
210,"Sherwyn Devonish-Prince Jr., Morgan St. (MEAC)",Sr.,6-1,G,26,93,3.6,2022
211,"Darius McGhee, Liberty (ASUN)",Sr.,5-9,G,33,118,3.6,2022
212,"Jordan Goldwire, Oklahoma (Big 12)",Sr.,6-2,G,35,125,3.6,2022
212,"Kevin Cross, Tulane (AAC)",So.,6-8,F,28,100,3.6,2022
214,"Caleb Love, North Carolina (ACC)",So.,6-4,G,39,139,3.6,2022
215,"Mike DePersia, IUPUI (Horizon)",Jr.,5-11,G,24,85,3.5,2022
216,"Lucas Stieber, Green Bay (Horizon)",Fr.,6-3,G,28,99,3.5,2022
217,"M.J. Randolph, Florida A&M (SWAC)",Sr.,6-4,G,30,106,3.5,2022
218,"Courtney Carter, SIUE (OVC)",Jr.,6-1,G,32,113,3.5,2022
218,"Antrell Charlton, Fordham (Atlantic 10)",So.,6-5,G,32,113,3.5,2022
218,"Tra'Michael Moton, Grambling (SWAC)",Jr.,6-1,G,32,113,3.5,2022
221,"Marquis Eaton, Arkansas St. (Sun Belt)",Sr.,6-2,G,29,102,3.5,2022
221,"Nigel Scantlebury, Central Conn. St. (NEC)",Jr.,6-0,G,29,102,3.5,2022
223,"Brian White, Northwestern St. (Southland)",Sr.,5-6,G,31,109,3.5,2022
224,"Jalen Cook, Tulane (AAC)",Fr.,6-0,G,24,84,3.5,2022
225,"Damian Chong Qui, Purdue Fort Wayne (Horizon)",Sr.,5-8,G,33,115,3.5,2022
225,"Max Fiedler, Rice (C-USA)",So.,6-11,F,33,115,3.5,2022
227,"Jalen Warren, UIC (Horizon)",Sr.,6-3,G,28,97,3.5,2022
228,"Mark Freeman, Illinois St. (MVC)",So.,5-10,G,31,107,3.5,2022
228,"Aly Khalifa, Charlotte (C-USA)",Fr.,6-10,C,31,107,3.5,2022
230,"Marcus Carr, Texas (Big 12)",Sr.,6-2,G,34,117,3.4,2022
231,"Nelly Cummings, Colgate (Patriot)",Sr.,6-0,G,32,110,3.4,2022
232,"KJ Hunt, Denver (Summit League)",Jr.,6-3,G,30,103,3.4,2022
232,"Torrey Patton, Cleveland St. (Horizon)",Sr.,6-5,G,30,103,3.4,2022
232,"Bryant Randleman, High Point (Big South)",Jr.,6-4,G,30,103,3.4,2022
232,"Noah Thomasson, Niagara (MAAC)",Jr.,6-3,G,30,103,3.4,2022
236,"Aljami Durham, Providence (Big East)",Sr.,6-4,G,31,106,3.4,2022
236,"Trey Pulliam, San Diego St. (Mountain West)",Sr.,6-3,G,31,106,3.4,2022
238,"Justyn Mutts, Virginia Tech (ACC)",Sr.,6-7,F,36,123,3.4,2022
239,"Mekhi Lairy, Miami (OH) (MAC)",Sr.,5-8,G,32,109,3.4,2022
239,"Sam Vinson, Northern Ky. (Horizon)",Fr.,6-5,G,32,109,3.4,2022
241,"Jacob Young, Oregon (Pac-12)",Sr.,6-2,G,35,119,3.4,2022
241,"Camren Hunter, Central Ark. (ASUN)",Fr.,6-3,G,30,102,3.4,2022
241,"Isaac Likekele, Oklahoma St. (Big 12)",Sr.,6-5,G,30,102,3.4,2022
241,"Ramiir Dixon-Conover, Saint Francis (PA) (NEC)",Sr.,6-3,G,25,85,3.4,2022
245,"Caleb Murphy, South Fla. (AAC)",So.,6-4,G,31,105,3.4,2022
246,"Sam Griesel, North Dakota St. (Summit League)",Sr.,6-7,G,26,88,3.4,2022
247,"Michael Flowers, Washington St. (Pac-12)",Sr.,6-2,G,37,125,3.4,2022
248,"Trent Stephney, UNC Asheville (Big South)",Jr.,6-2,G,32,108,3.4,2022
248,"John-Michael Wright, High Point (Big South)",Jr.,6-1,G,32,108,3.4,2022
248,"Ezra Manjon, UC Davis (Big West)",So.,6-0,G,24,81,3.4,2022
251,"Austin Williams, Hartford (America East)",Sr.,6-4,G,27,91,3.4,2022
252,"Makai Ashton-Langford, Boston College (ACC)",Jr.,6-3,G,33,111,3.4,2022
252,"Bryan Greenlee, Fla. Atlantic (C-USA)",So.,6-0,G,33,111,3.4,2022
254,"Shawn Williams, Ark.-Pine Bluff (SWAC)",Sr.,6-1,G,28,94,3.4,2022
255,"Aaron Duhart, Army West Point (Patriot)",Sr.,6-0,G,31,104,3.4,2022
255,"Femi Odukale, Pittsburgh (ACC)",So.,6-6,G,31,104,3.4,2022
257,"Trey Calvin, Wright St. (Horizon)",Jr.,6-0,G,34,114,3.4,2022
258,"Michael Green III, Robert Morris (Horizon)",Jr.,5-11,G,29,97,3.3,2022
259,"Drew Peterson, Southern California (Pac-12)",Sr.,6-9,G,34,113,3.3,2022
260,"Rob Higgins, St. Francis Brooklyn (NEC)",Jr.,6-1,G,28,93,3.3,2022
261,"Isaiah Mobley, Southern California (Pac-12)",Jr.,6-10,F,32,106,3.3,2022
262,"Elijah Joiner, Iona (MAAC)",Sr.,6-3,G,29,96,3.3,2022
262,"Foster Loyer, Davidson (Atlantic 10)",Jr.,6-0,G,29,96,3.3,2022
264,"Isaiah Hill, Fresno St. (Mountain West)",Jr.,6-0,G,36,119,3.3,2022
265,"CJ Fulton, Lafayette (Patriot)",Fr.,6-2,G,30,99,3.3,2022
266,"Evan Gilyard II, Kansas City (Summit League)",Sr.,5-10,G,31,102,3.3,2022
267,"Jhamir Brickus, La Salle (Atlantic 10)",So.,5-11,G,28,92,3.3,2022
268,"Jake Stephens, VMI (SoCon)",Sr.,7-0,C,30,98,3.3,2022
269,"Alex Barcello, BYU (WCC)",Sr.,6-2,G,35,114,3.3,2022
270,"Rudi Williams, Coastal Carolina (Sun Belt)",Sr.,6-2,G,33,107,3.2,2022
271,"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,29,94,3.2,2022
272,"Joel Brown, California (Pac-12)",Jr.,6-3,G,30,97,3.2,2022
272,"Camron Justice, Western Ky. (C-USA)",Sr.,6-3,G,30,97,3.2,2022
